date,price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,price_per_sqft,affordability_score,quality_score,investment_score
2014-11-20,329000.0,3,2.25,2450,2.0,0,0,4,8,1985,0,98030,47.3739,-122.172,134.28571428571428,0.007446808510638298,12,83.9541016980521
2014-11-03,233000.0,3,2.0,1710,1.5,0,0,5,6,1941,0,98002,47.3048,-122.218,136.25730994152048,0.007339055793991416,11,71.12501735066859
2014-06-26,937000.0,3,1.75,2450,2.0,0,0,3,8,1915,0,98119,47.6386,-122.36,382.44897959183675,0.002614727854855923,11,30.95474945634572
2014-12-01,667000.0,3,1.0,1400,1.5,0,0,5,8,1909,0,98112,47.6221,-122.314,476.42857142857144,0.002098950524737631,13,45.99430898070606
2014-06-24,438000.0,3,1.75,1520,1.0,0,0,3,7,1948,0,98115,47.695,-122.304,288.1578947368421,0.0034703196347031966,10,26.585851108129365
2015-03-02,719000.0,4,2.5,2570,2.0,0,0,3,8,2005,0,98052,47.7073,-122.11,279.76653696498056,0.0035744089012517384,11,42.63521954379309
2014-11-10,580500.0,3,2.5,2320,2.0,0,0,3,8,2003,0,98027,47.5391,-122.07,250.2155172413793,0.003996554694229113,11,48.13885161708231
2014-12-01,280000.0,2,1.5,1190,3.0,0,0,3,7,2005,0,98133,47.7274,-122.357,235.2941176470588,0.00425,10,36.66311941886827
2014-06-24,687500.0,4,1.75,2330,1.5,0,0,4,7,1929,0,98117,47.6823,-122.368,295.06437768240346,0.003389090909090909,11,40.00254476472493
2014-11-10,535000.0,3,1.0,1090,1.5,0,0,4,8,1929,0,98117,47.6889,-122.375,490.8256880733945,0.0020373831775700934,12,39.08989959746449
2014-12-03,322500.0,4,2.75,2060,1.0,0,0,3,7,1981,0,98058,47.4276,-122.157,156.55339805825244,0.0063875968992248055,10,52.772636838939526
2014-06-13,696000.0,3,2.5,2300,1.5,0,0,3,8,1930,2002,98115,47.6827,-122.31,302.60869565217394,0.0033045977011494252,11,38.89441539814001
2014-05-28,550000.0,4,1.0,1660,1.0,0,0,1,5,1933,0,98052,47.6621,-122.132,331.32530120481925,0.0030181818181818183,6,11.031555082589183
2014-12-30,640000.0,4,2.0,2360,2.0,0,0,4,8,1904,0,98107,47.6702,-122.362,271.1864406779661,0.0036875,12,56.75403692222274
2015-02-13,240000.0,4,1.0,1220,1.0,0,0,2,7,1969,0,98001,47.3341,-122.282,196.72131147540983,0.005083333333333334,9,36.460694952112156
2014-06-20,605000.0,4,2.5,2620,2.0,0,0,3,8,1996,0,98056,47.5301,-122.18,230.91603053435114,0.004330578512396694,11,52.120251700365515
2014-07-15,625000.0,4,2.5,2570,2.0,0,0,3,9,2000,0,98074,47.6145,-122.027,243.19066147859922,0.004112,12,62.24841530560311
2014-08-11,775000.0,4,2.25,4220,1.0,0,0,3,8,1984,0,98166,47.445,-122.347,183.64928909952607,0.005445161290322581,11,61.602970434460744
2014-07-07,861990.0,5,2.75,3595,2.0,0,0,3,9,2014,0,98053,47.6848,-122.016,239.77468706536857,0.004170582025313519,12,62.93665849257392
2014-10-28,685000.0,3,1.0,1570,2.0,0,0,3,7,1922,0,98119,47.6413,-122.364,436.30573248407643,0.002291970802919708,10,13.553185582751123
2014-07-29,309000.0,3,1.0,1280,1.0,0,0,4,6,1959,0,98058,47.4485,-122.175,241.40625,0.004142394822006472,10,35.51681858140934
2014-07-18,488000.0,3,2.5,3160,2.0,0,0,3,8,2003,0,98019,47.7443,-121.977,154.43037974683546,0.006475409836065573,11,67.7832785823347
2015-03-25,210490.0,3,1.0,990,1.0,0,0,3,6,1966,0,98023,47.3066,-122.371,212.6161616161616,0.004703311321202908,9,33.251977976218015
2014-07-16,785000.0,4,2.5,2290,2.0,0,0,4,9,1981,0,98007,47.6194,-122.151,342.7947598253275,0.0029171974522292994,13,53.411141442650255
2015-04-28,450000.0,3,1.75,1250,1.0,0,0,4,7,1953,0,98115,47.6796,-122.301,360.0,0.002777777777777778,11,32.625040484893354
2015-03-11,1350000.0,3,2.5,2753,1.0,1,2,5,9,1953,0,98070,47.4041,-122.451,490.37413730475845,0.0020392592592592593,17,51.61245546661731
2014-09-16,228000.0,3,1.0,1190,1.0,0,0,3,7,1955,0,98148,47.4258,-122.322,191.5966386554622,0.005219298245614035,10,45.41132651644843
2015-02-17,345000.0,5,2.5,3150,1.0,0,0,4,8,1966,0,98056,47.4934,-122.189,109.52380952380952,0.009130434782608696,12,86.2351362605839
2014-12-31,600000.0,3,1.75,1410,1.0,0,0,4,7,1950,0,98117,47.6808,-122.384,425.531914893617,0.00235,11,28.475917272012214
2015-02-05,585000.0,2,1.75,1980,1.0,0,0,3,7,1981,0,98117,47.6989,-122.369,295.45454545454544,0.003384615384615385,10,25.39212510988757
2015-03-03,920000.0,5,2.25,2730,1.5,0,0,3,8,1927,0,98105,47.6571,-122.281,336.996336996337,0.0029673913043478262,11,34.79503076851895
2014-05-12,885000.0,4,2.5,2830,2.0,0,0,3,9,1995,0,98105,47.6597,-122.29,312.7208480565371,0.0031977401129943506,12,50.14574561606441
2014-08-19,292500.0,4,2.5,2250,2.0,0,0,3,7,2008,0,98042,47.3663,-122.114,130.0,0.007692307692307693,10,57.39485494841068
2015-04-07,301000.0,3,2.5,2420,2.0,0,0,3,8,2003,0,98042,47.3663,-122.122,124.3801652892562,0.008039867109634552,11,72.60329431360755
2014-08-27,951000.0,5,3.25,3250,2.0,0,4,4,8,1968,0,98008,47.588,-122.116,292.61538461538464,0.0034174553101997893,16,64.8510155924675
2015-02-23,430000.0,4,3.0,1850,2.0,0,0,3,8,1991,0,98059,47.5059,-122.149,232.43243243243242,0.0043023255813953495,11,51.79405913107852
2014-12-10,650000.0,3,2.25,2150,1.0,0,3,4,8,1959,0,98166,47.4336,-122.339,302.3255813953488,0.003307692307692308,15,62.595428677185026
2014-08-28,289000.0,3,1.75,1260,1.0,0,0,3,7,1954,0,98148,47.4366,-122.335,229.36507936507937,0.004359861591695502,10,37.8626289733031
2014-10-21,505000.0,3,1.75,2519,2.0,0,0,5,8,1973,0,98166,47.4428,-122.344,200.47637951568083,0.004988118811881188,13,77.44991440336835
2014-12-07,549000.0,3,1.75,1540,3.0,0,0,3,8,2014,0,98115,47.6765,-122.32,356.4935064935065,0.0028051001821493625,11,32.974367278952485
2014-06-03,425000.0,3,2.25,1660,1.0,0,0,3,7,1979,0,98122,47.6113,-122.297,256.0240963855422,0.003905882352941176,10,32.52787674085042
2014-11-20,317625.0,3,2.75,2770,1.5,0,0,5,7,1925,0,98144,47.5747,-122.304,114.66606498194946,0.008720975993703266,12,85.91125711377413
2014-09-09,975000.0,4,2.5,2720,2.0,0,0,3,10,1989,0,98004,47.5815,-122.192,358.45588235294116,0.00278974358974359,13,51.96640910563087
2014-10-09,287000.0,4,2.5,2240,2.0,0,0,3,7,2005,0,98001,47.3378,-122.257,128.125,0.007804878048780488,10,57.61810021746171
2014-08-25,204000.0,3,1.0,1000,1.0,0,0,4,7,1968,0,98042,47.3621,-122.11,204.0,0.004901960784313725,11,57.55101096562254
2014-06-12,1325000.0,5,2.25,3200,1.0,0,0,3,8,1965,0,98004,47.6303,-122.215,414.0625,0.0024150943396226416,11,29.032295377781892
2014-09-12,1040000.0,5,3.25,4770,1.0,0,0,4,11,1973,0,98005,47.6525,-122.16,218.02935010482182,0.004586538461538461,15,78.39379077407116
2015-01-05,325000.0,3,2.0,1260,1.0,0,0,4,7,1972,0,98034,47.7362,-122.179,257.93650793650795,0.003876923076923077,11,46.70105954749456
2014-06-10,571000.0,4,2.0,2750,1.5,0,0,5,7,1916,0,98125,47.7168,-122.287,207.63636363636363,0.004816112084063047,12,69.3170776847268
2014-07-10,360000.0,4,2.5,2380,2.0,0,0,3,8,2005,0,98038,47.3608,-122.036,151.26050420168067,0.006611111111111111,11,68.40211909498912
2015-03-16,349000.0,3,1.75,1790,1.0,0,0,5,7,1965,0,98042,47.3511,-122.073,194.97206703910615,0.005128939828080229,12,71.87572294452413
2014-11-05,832500.0,4,4.0,3430,2.0,0,0,4,10,1986,0,98075,47.5822,-121.987,242.71137026239066,0.00412012012012012,14,71.9948642021006
2014-10-13,380000.0,4,1.75,1760,1.0,0,0,3,7,1956,0,98008,47.6034,-122.125,215.9090909090909,0.0046315789473684215,10,40.592467496414194
2015-04-20,480000.0,3,1.0,1040,1.0,0,0,3,7,1941,0,98116,47.5636,-122.394,461.53846153846155,0.0021666666666666666,10,12.698375977420998
2014-06-09,410000.0,3,1.0,1410,1.0,0,0,4,7,1956,0,98133,47.7073,-122.34,290.78014184397165,0.003439024390243902,11,40.664183593207795
2015-03-23,720000.0,4,2.5,3450,2.0,0,0,3,10,2002,0,98010,47.342,-122.025,208.69565217391303,0.004791666666666667,13,75.73451163651505
2014-12-02,390000.0,3,2.5,2350,2.0,0,0,3,8,2003,0,98038,47.3512,-122.008,165.95744680851064,0.006025641025641026,11,65.40623698699856
2014-12-22,360000.0,4,2.5,1900,2.0,0,0,3,7,1992,0,98038,47.349,-122.031,189.47368421052633,0.005277777777777777,10,45.868227455697955
2014-10-28,355000.0,2,1.0,2020,1.0,0,0,3,7,1948,0,98118,47.5474,-122.291,175.74257425742573,0.005690140845070423,10,48.70216999028362
2015-01-28,356000.0,3,1.5,1680,1.0,0,0,3,8,1964,0,98059,47.4811,-122.149,211.9047619047619,0.004719101123595506,11,55.931615231573595
2014-06-02,315000.0,3,1.0,960,1.0,0,0,3,6,1952,0,98125,47.7264,-122.31,328.125,0.0030476190476190477,9,13.21658261231666
2014-11-14,940000.0,3,1.5,2140,2.0,0,0,3,9,1925,0,98119,47.6337,-122.365,439.25233644859816,0.002276595744680851,12,40.512654420950355
2014-11-03,305000.0,5,2.25,2660,1.5,0,0,5,7,1961,0,98092,47.2909,-122.189,114.66165413533835,0.008721311475409835,12,85.91357053625133
2014-06-18,461000.0,3,3.25,2770,2.0,0,0,3,9,2006,0,98056,47.5228,-122.199,166.4259927797834,0.006008676789587853,12,77.87905427289132
2014-05-19,215000.0,2,2.25,1610,2.0,0,0,4,7,1979,0,98056,47.518,-122.194,133.54037267080744,0.007488372093023257,11,71.50673205940869
2014-09-04,335000.0,2,1.75,1030,2.0,0,0,3,7,2006,0,98136,47.5394,-122.387,325.24271844660194,0.0030746268656716416,10,21.542590107805488
2014-05-22,243500.0,4,2.5,1980,2.0,0,0,3,7,1988,0,98023,47.2897,-122.372,122.97979797979798,0.00813141683778234,10,58.172164900754176
2015-03-11,1099880.0,5,2.75,3520,2.0,0,0,4,10,2001,0,98199,47.6506,-122.391,312.46590909090907,0.0032003491289958907,14,59.854023041687874
2015-02-26,153000.0,3,1.0,1200,1.0,0,0,3,7,1962,0,98023,47.322,-122.351,127.5,0.00784313725490196,10,57.70022671540277
2014-07-25,430000.0,3,1.5,1580,1.0,0,0,3,8,1939,0,98117,47.687,-122.386,272.1518987341772,0.0036744186046511625,11,44.031370008791
2014-12-23,700000.0,3,1.5,1580,1.0,0,0,3,8,1939,0,98117,47.687,-122.386,443.0379746835443,0.0022571428571428573,11,27.86054689307361
2014-09-08,905000.0,4,2.5,3300,1.0,0,0,3,7,1946,1991,98040,47.5873,-122.249,274.24242424242425,0.0036464088397790053,10,29.094757784666637
2015-03-30,247500.0,3,1.75,1960,1.0,0,0,3,7,1967,0,98032,47.3576,-122.277,126.27551020408163,0.00791919191919192,10,57.834405219081106
2014-09-12,199000.0,4,1.5,1160,1.0,0,0,4,7,1975,0,98023,47.3036,-122.378,171.55172413793105,0.005829145728643216,11,64.25877943830103
2014-07-11,314000.0,3,1.75,1810,1.0,0,0,5,7,1980,0,98038,47.4109,-121.958,173.48066298342542,0.0057643312101910826,12,76.3383149030676
2014-05-16,437500.0,3,2.5,2320,2.0,0,2,3,9,1992,0,98045,47.4838,-121.714,188.57758620689654,0.005302857142857143,14,82.81705455050201
2014-06-11,850830.0,3,2.5,2070,1.5,0,0,5,9,1910,0,98102,47.6415,-122.315,411.0289855072464,0.002432918444342583,14,51.35219543793088
2014-10-27,555000.0,3,2.0,1980,1.5,0,0,4,7,1929,0,98117,47.6775,-122.372,280.3030303030303,0.0035675675675675674,11,42.54846620089761
2014-12-12,699950.0,3,2.25,2190,2.0,0,0,4,8,1983,0,98077,47.7731,-122.08,319.61187214611874,0.003128794913922423,12,49.27127191967797
2014-10-07,1088000.0,3,2.5,2920,2.0,0,0,3,8,1950,2010,98004,47.5814,-122.196,372.6027397260274,0.002683823529411765,11,31.6938879378152
2014-09-24,290000.0,3,1.0,1210,1.0,0,0,3,7,1954,0,98058,47.4375,-122.184,239.6694214876033,0.004172413793103448,10,35.85920510803683
2015-04-02,375000.0,3,2.5,2340,1.0,0,0,4,8,1978,0,98058,47.4431,-122.133,160.25641025641025,0.00624,12,79.13524267801786
2014-05-23,460000.0,3,1.0,1670,1.5,0,0,4,7,1939,0,98117,47.6878,-122.38,275.4491017964072,0.0036304347826086954,11,43.417156341091015
2014-07-23,188500.0,2,1.75,1240,1.0,0,0,4,8,1985,0,98198,47.3813,-122.322,152.01612903225808,0.006578249336870026,12,80.80090686161107
2015-03-05,680000.0,4,2.5,3140,2.0,0,0,4,10,1991,0,98077,47.7304,-122.082,216.56050955414014,0.004617647058823529,14,77.18734095220469
2014-08-27,470000.0,5,1.75,2030,2.0,0,0,4,7,1942,0,98052,47.6417,-122.109,231.5270935960591,0.004319148936170213,11,51.98607319668718
2014-07-25,597750.0,4,2.5,2310,2.0,0,0,3,8,1984,0,98027,47.5386,-122.053,258.76623376623377,0.003864491844416562,11,46.54027668532827
2015-03-04,570000.0,3,1.75,1260,1.0,0,0,5,6,1905,0,98103,47.6823,-122.349,452.3809523809524,0.0022105263157894735,11,27.549391569888492
2014-09-16,272500.0,3,1.75,1540,1.0,0,0,4,7,1980,0,98038,47.3624,-122.031,176.94805194805195,0.00565137614678899,11,63.02688196918521
2014-11-24,329950.0,3,1.75,2080,1.0,0,2,3,7,1971,0,98108,47.5474,-122.295,158.62980769230768,0.006303985452341264,12,79.484569472077
2014-10-28,480000.0,4,2.5,3230,2.0,0,3,3,9,2001,0,98001,47.3183,-122.253,148.60681114551085,0.006729166666666666,15,92.62133900892981
2014-11-21,740500.0,3,3.5,4380,2.0,0,0,3,8,1900,1999,98117,47.6981,-122.368,169.06392694063928,0.005914922349763673,11,64.77004580576504
2014-06-26,518500.0,3,3.5,1590,3.0,0,0,3,8,2010,0,98103,47.6824,-122.347,326.1006289308176,0.0030665380906460945,11,36.01420441401009
2014-06-23,205425.0,2,1.0,880,1.0,0,0,4,6,1945,0,98178,47.5009,-122.248,233.4375,0.00428380187416332,10,37.020543191597646
2015-01-08,171800.0,4,2.0,1570,1.0,0,0,3,6,1950,0,98168,47.4965,-122.303,109.4267515923567,0.009138533178114085,9,51.176375329662704
2015-05-11,535000.0,4,1.0,1610,1.5,0,0,4,7,1925,0,98144,47.587,-122.294,332.29813664596276,0.003009345794392523,11,35.29704344607412
2015-01-02,660000.0,3,2.5,2400,1.0,0,2,3,8,1964,0,98177,47.7728,-122.386,275.0,0.0036363636363636364,13,62.707629667329854
2014-11-19,391500.0,3,2.0,1450,1.0,0,0,3,7,1987,0,98034,47.7288,-122.226,270.0,0.003703703703703704,10,29.9391569888493
2015-04-06,395000.0,2,1.0,770,1.0,0,0,3,6,1953,0,98117,47.6999,-122.364,512.987012987013,0.0019493670886075948,9,3.6471105353259614
2014-11-04,445000.0,4,1.75,2100,1.5,0,0,5,7,1924,0,98118,47.5299,-122.266,211.9047619047619,0.004719101123595506,12,68.46458150187387
2014-06-18,770000.0,3,2.25,2910,2.0,0,0,3,9,1990,0,98052,47.6897,-122.098,264.6048109965636,0.0037792207792207793,12,58.05071022070051
2015-03-02,1450000.0,4,2.75,2750,1.5,0,0,3,8,1914,1992,98004,47.6141,-122.212,527.2727272727273,0.001896551724137931,11,25.94618979318003
2014-07-17,445000.0,3,2.25,2100,1.0,0,2,3,8,1967,0,98178,47.5091,-122.244,211.9047619047619,0.004719101123595506,13,75.1260815250081
2014-07-17,260000.0,4,2.25,2160,1.0,0,0,3,8,1978,0,98023,47.3129,-122.39,120.37037037037037,0.008307692307692308,11,72.95377781890528
2014-06-13,822500.0,5,3.5,2320,2.0,0,0,5,7,1926,0,98103,47.6763,-122.352,354.5258620689655,0.0028206686930091185,12,45.66695970018045
2015-04-06,430000.0,4,2.5,2070,2.0,0,0,3,7,2004,0,98065,47.5319,-121.85,207.72946859903382,0.004813953488372093,10,42.19682598436126
2015-01-05,212000.0,3,1.75,1060,1.0,0,0,4,7,1986,0,98092,47.2761,-122.152,200.0,0.005,11,58.33873131911349
2015-04-28,660500.0,4,2.25,2010,1.0,0,0,3,8,1986,0,98027,47.5343,-122.054,328.60696517412936,0.0030431491294473883,11,35.683384999768656
2014-06-12,784000.0,3,3.5,3950,1.5,0,0,3,9,1989,0,98052,47.697,-122.072,198.48101265822785,0.005038265306122449,12,71.17244251145144
2014-05-12,453246.0,3,2.5,2010,2.0,0,0,3,8,2014,0,98029,47.5517,-121.998,225.4955223880597,0.004434677857057757,11,53.23994817933651
2015-01-26,675000.0,4,3.5,2140,3.0,0,0,3,9,2005,0,98107,47.6734,-122.38,315.42056074766356,0.0031703703703703703,12,49.79757553324388
2014-08-13,199000.0,3,1.75,1320,1.0,0,0,4,7,1956,0,98003,47.3257,-122.296,150.75757575757575,0.0066331658291457285,11,68.50390968398649
2014-08-05,220000.0,4,1.75,2020,1.0,0,0,3,7,1968,0,98003,47.3309,-122.299,108.91089108910892,0.009181818181818182,10,59.17387683338732
2014-05-29,452000.0,4,2.25,2590,1.0,0,0,4,8,1968,0,98028,47.7689,-122.266,174.51737451737452,0.005730088495575221,12,76.07921158561976
2014-07-07,382500.0,2,1.0,1190,1.0,0,0,3,6,1981,0,98125,47.7135,-122.287,321.42857142857144,0.003111111111111111,9,13.989265719705731
2014-05-07,519950.0,3,2.25,1170,3.0,0,0,3,8,2014,0,98107,47.6722,-122.381,444.4017094017094,0.0022502163669583615,11,27.82006199972239
2014-06-27,665000.0,2,1.0,1110,1.0,0,0,3,7,1925,0,98119,47.6338,-122.358,599.0990990990991,0.001669172932330827,10,10.582751122009903
2014-07-08,527700.0,5,2.5,2820,1.0,0,0,4,8,1968,0,98006,47.5707,-122.128,187.12765957446808,0.0053439454235361,12,73.45116365150604
2015-05-08,205000.0,3,1.0,1610,1.0,0,0,4,7,1962,0,98058,47.4563,-122.171,127.32919254658385,0.007853658536585366,11,72.27710174432055
2015-04-15,420000.0,3,1.0,1060,1.0,0,0,4,7,1923,0,98133,47.7144,-122.351,396.22641509433964,0.0025238095238095237,11,29.999305973256835
2015-02-27,500000.0,4,2.25,2030,1.0,0,0,4,8,1961,0,98006,47.5495,-122.174,246.30541871921181,0.00406,12,61.58908989959746
2014-12-03,921500.0,4,2.5,3670,2.0,0,0,4,9,1994,0,98077,47.7421,-122.026,251.0899182561308,0.003982637004883342,13,67.21533336417896
2014-06-25,890000.0,4,1.0,2550,2.0,0,0,3,8,1905,0,98109,47.6354,-122.353,349.01960784313724,0.0028651685393258426,11,33.59667792532272
2014-08-06,430000.0,2,2.5,2420,2.0,0,0,3,7,2007,0,98027,47.5262,-121.943,177.68595041322314,0.005627906976744186,10,48.28922407810114
2014-10-30,258000.0,5,2.0,2260,1.0,0,0,4,8,1960,0,98032,47.3887,-122.286,114.15929203539822,0.00875968992248062,12,85.95058529588673
2014-11-04,511000.0,3,1.0,1430,1.0,0,0,3,7,1947,0,98103,47.6873,-122.336,357.34265734265733,0.002798434442270059,10,18.314209040855044
2014-08-20,532170.0,3,2.0,1360,2.0,0,0,3,8,1990,0,98103,47.6838,-122.353,391.3014705882353,0.002555574346543398,11,30.34400592236154
2015-04-09,560000.0,3,1.0,1110,1.5,0,0,3,7,1947,0,98107,47.655,-122.359,504.5045045045045,0.0019821428571428572,10,11.746402628047935
2015-03-31,282950.0,3,1.0,1250,1.0,0,0,4,7,1954,0,98003,47.3255,-122.304,226.36,0.00441774165046828,11,53.02479988895572
2015-04-01,2250000.0,4,3.25,5180,2.0,0,3,3,12,2006,0,98006,47.562,-122.162,434.36293436293437,0.002302222222222222,18,53.48748438439828
2014-05-16,350000.0,1,1.0,700,1.0,0,0,3,7,1942,0,98115,47.679,-122.3,500.0,0.002,10,11.826215703511776
2014-07-28,215000.0,3,1.0,1180,1.0,0,0,4,7,1967,0,98058,47.4479,-122.176,182.20338983050848,0.005488372093023256,11,61.91528246888447
2014-11-20,650000.0,5,3.5,3960,2.0,0,0,3,9,1996,0,98056,47.525,-122.172,164.14141414141415,0.006092307692307692,12,78.36255957062879
2014-08-07,320000.0,4,2.75,2640,1.0,0,0,3,8,1967,0,98023,47.3135,-122.369,121.21212121212122,0.00825,11,72.89015870078194
2014-11-13,247000.0,3,2.0,1270,1.5,0,0,3,7,1916,2013,98022,47.2086,-121.996,194.48818897637796,0.0051417004048583,10,44.87692592421228
2014-10-03,320000.0,4,1.75,1760,1.0,0,0,4,8,1968,0,98059,47.4715,-122.118,181.8181818181818,0.0055000000000000005,12,74.52227825845557
2014-05-07,255000.0,5,2.25,2060,1.0,0,0,3,7,1962,0,98146,47.4877,-122.335,123.7864077669903,0.00807843137254902,10,58.10970249386943
2015-03-09,438000.0,3,1.75,1780,1.0,0,0,3,7,1962,0,98034,47.7171,-122.193,246.06741573033707,0.004063926940639269,10,34.55212140841161
2015-03-04,900000.0,3,2.5,3400,2.0,0,0,3,10,2000,0,98075,47.6012,-122.023,264.70588235294116,0.003777777777777778,13,64.69370286401703
2014-06-20,441000.0,3,2.75,1910,1.0,0,0,3,7,1979,0,98034,47.7319,-122.224,230.89005235602093,0.0043310657596371885,10,37.56882431869708
2014-08-12,420000.0,3,2.0,2020,1.0,0,0,4,7,1975,0,98027,47.4582,-122.023,207.92079207920793,0.0048095238095238095,11,56.722805718780364
2014-12-08,370000.0,3,1.75,1580,1.0,0,0,3,7,1976,0,98034,47.7209,-122.168,234.1772151898734,0.00427027027027027,10,36.87711099801045
2015-02-19,269950.0,2,1.75,1340,1.0,0,0,5,5,1949,0,98198,47.408,-122.327,201.455223880597,0.004963882200407483,10,43.46805163558969
2015-03-24,807100.0,4,2.5,2680,2.0,0,0,3,9,1999,0,98006,47.565,-122.125,301.15671641791045,0.0033205302936439103,12,51.60782862166289
2014-06-05,653000.0,3,2.5,2680,1.0,0,0,4,8,1979,0,98034,47.7028,-122.231,243.65671641791045,0.004104134762633997,12,62.160505251469026
2014-06-11,371500.0,3,2.0,1370,1.0,0,0,5,7,1964,0,98133,47.7458,-122.331,271.1678832116788,0.0036877523553162854,12,56.75982047841577
2015-03-16,284000.0,3,1.75,1560,1.0,0,0,3,7,1954,0,98166,47.4776,-122.337,182.05128205128204,0.005492957746478873,10,47.38930273446537
2015-01-02,272000.0,3,1.75,2160,1.0,0,0,4,7,1978,0,98023,47.3026,-122.374,125.92592592592592,0.007941176470588236,11,72.42631749410077
2014-05-02,313000.0,3,1.5,1340,1.5,0,0,3,7,1955,0,98133,47.7658,-122.339,233.5820895522388,0.004281150159744409,10,36.98584185443946
2015-01-16,917500.0,4,2.5,3880,2.0,0,0,3,10,1984,0,98033,47.6477,-122.182,236.46907216494844,0.004228882833787466,13,70.18808124739739
2014-09-29,673000.0,4,2.25,2590,2.0,0,0,4,8,1980,0,98006,47.5619,-122.125,259.8455598455598,0.003848439821693908,12,58.90898995974645
2015-02-10,425000.0,3,2.5,1120,2.0,0,0,3,8,2008,0,98122,47.6106,-122.31,379.4642857142857,0.0026352941176470586,11,31.18377828158978
2014-07-09,399950.0,5,2.75,1970,1.0,0,0,3,7,1986,0,98144,47.5868,-122.308,203.0203045685279,0.004925615701962745,10,43.176560403460876
2014-05-30,385000.0,3,1.0,1220,1.0,0,0,3,6,1901,0,98122,47.6101,-122.307,315.57377049180326,0.003168831168831169,9,14.71799380002776
