date,price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,price_per_sqft,affordability_score,quality_score,investment_score,address
2014-11-10,535000.0,3,1.0,1090,1.5,0,0,4,8,1929,0,98117,47.6889,-122.375,490.8256880733945,0.00203738317757,12,39.08989959746449,"1420 NW 83rd St, Seattle, WA 98117, USA"
2014-12-03,322500.0,4,2.75,2060,1.0,0,0,3,7,1981,0,98058,47.4276,-122.157,156.55339805825244,0.0063875968992248,10,52.772636838939526,"19504 138th Ave SE, Renton, WA 98058, USA"
2014-06-13,696000.0,3,2.5,2300,1.5,0,0,3,8,1930,2002,98115,47.6827,-122.31,302.60869565217394,0.0033045977011494,11,38.89441539814001,"7349 17th Ave NE, Seattle, WA 98115, USA"
2014-05-28,550000.0,4,1.0,1660,1.0,0,0,1,5,1933,0,98052,47.6621,-122.132,331.32530120481925,0.0030181818181818,6,11.031555082589184,"6056 156th Ave NE, Redmond, WA 98052, USA"
2014-12-30,640000.0,4,2.0,2360,2.0,0,0,4,8,1904,0,98107,47.6702,-122.362,271.1864406779661,0.0036875,12,56.75403692222274,"5601 5th Ave NW, Seattle, WA 98107, USA"
2015-02-13,240000.0,4,1.0,1220,1.0,0,0,2,7,1969,0,98001,47.3341,-122.282,196.72131147540983,0.0050833333333333,9,36.46069495211216,"29832 42nd Ave S, Auburn, WA 98001, USA"
2014-06-20,605000.0,4,2.5,2620,2.0,0,0,3,8,1996,0,98056,47.5301,-122.18,230.91603053435117,0.0043305785123966,11,52.12025170036552,"8113 120th Pl SE, Newcastle, WA 98056, USA"
2014-07-15,625000.0,4,2.5,2570,2.0,0,0,3,9,2000,0,98074,47.6145,-122.027,243.1906614785992,0.004112,12,62.24841530560311,"521 234th Pl NE, Sammamish, WA 98074, USA"
2014-08-11,775000.0,4,2.25,4220,1.0,0,0,3,8,1984,0,98166,47.445,-122.347,183.64928909952607,0.0054451612903225,11,61.60297043446074,"853 SW 174th St, Normandy Park, WA 98166, USA"
2014-07-07,861990.0,5,2.75,3595,2.0,0,0,3,9,2014,0,98053,47.6848,-122.016,239.77468706536857,0.0041705820253135,12,62.93665849257392,"9704 242nd Way NE, Redmond, WA 98053, USA"
2014-10-28,685000.0,3,1.0,1570,2.0,0,0,3,7,1922,0,98119,47.6413,-122.364,436.3057324840764,0.0022919708029197,10,13.553185582751125,"2459 5th Ave W, Seattle, WA 98119, USA"
2014-07-29,309000.0,3,1.0,1280,1.0,0,0,4,6,1959,0,98058,47.4485,-122.175,241.40625,0.0041423948220064,10,35.51681858140934,"12505 SE 172nd St, Renton, WA 98058, USA"
2014-07-18,488000.0,3,2.5,3160,2.0,0,0,3,8,2003,0,98019,47.7443,-121.977,154.43037974683546,0.0064754098360655,11,67.7832785823347,"16011 270th Pl NE, Duvall, WA 98019, USA"
2015-03-25,210490.0,3,1.0,990,1.0,0,0,3,6,1966,0,98023,47.3066,-122.371,212.6161616161616,0.0047033113212029,9,33.251977976218015,"2902 SW 330th St, Federal Way, WA 98023, USA"
2014-07-16,785000.0,4,2.5,2290,2.0,0,0,4,9,1981,0,98007,47.6194,-122.151,342.7947598253275,0.0029171974522292,13,53.411141442650255,"14203 NE 10th Pl, Bellevue, WA 98007, USA"
2015-04-28,450000.0,3,1.75,1250,1.0,0,0,4,7,1953,0,98115,47.6796,-122.301,360.0,0.0027777777777777,11,32.625040484893354,"7001 25th Ave NE, Seattle, WA 98115, USA"
2015-03-11,1350000.0,3,2.5,2753,1.0,1,2,5,9,1953,0,98070,47.4041,-122.451,490.3741373047585,0.0020392592592592,17,51.61245546661731,"9129 SW Quartermaster Dr, Vashon, WA 98070, USA"
2014-09-16,228000.0,3,1.0,1190,1.0,0,0,3,7,1955,0,98148,47.4258,-122.322,191.5966386554622,0.005219298245614,10,45.41132651644843,"1016 S 197th St, Des Moines, WA 98148, USA"
2015-02-17,345000.0,5,2.5,3150,1.0,0,0,4,8,1966,0,98056,47.4934,-122.189,109.52380952380952,0.0091304347826086,12,86.2351362605839,"659 Blaine Ave NE, Renton, WA 98056, USA"
2014-12-31,600000.0,3,1.75,1410,1.0,0,0,4,7,1950,0,98117,47.6808,-122.384,425.531914893617,0.00235,11,28.47591727201221,"7040 22nd Ave NW, Seattle, WA 98117, USA"
2015-02-05,585000.0,2,1.75,1980,1.0,0,0,3,7,1981,0,98117,47.6989,-122.369,295.45454545454544,0.0033846153846153,10,25.39212510988757,"9527 9th Ave NW, Seattle, WA 98117, USA"
2015-03-03,920000.0,5,2.25,2730,1.5,0,0,3,8,1927,0,98105,47.6571,-122.281,336.996336996337,0.0029673913043478,11,34.79503076851895,"3848 43rd Ave NE, Seattle, WA 98105, USA"
2014-05-12,885000.0,4,2.5,2830,2.0,0,0,3,9,1995,0,98105,47.6597,-122.29,312.7208480565371,0.0031977401129943,12,50.14574561606441,"3503 NE 43rd St, Seattle, WA 98105, USA"
2014-08-19,292500.0,4,2.5,2250,2.0,0,0,3,7,2008,0,98042,47.3663,-122.114,130.0,0.0076923076923076,10,57.39485494841068,"17025 SE 263rd St, Covington, WA 98042, USA"
2015-04-07,301000.0,3,2.5,2420,2.0,0,0,3,8,2003,0,98042,47.3663,-122.122,124.3801652892562,0.0080398671096345,11,72.60329431360755,"16426 SE 263rd St, Covington, WA 98042, USA"
2014-08-27,951000.0,5,3.25,3250,2.0,0,4,4,8,1968,0,98008,47.588,-122.116,292.61538461538464,0.0034174553101997,16,64.8510155924675,"2607 SE 26th St, Bellevue, WA 98008, USA"
2015-02-23,430000.0,4,3.0,1850,2.0,0,0,3,8,1991,0,98059,47.5059,-122.149,232.4324324324324,0.0043023255813953,11,51.79405913107852,"1520 Ilwaco Ave NE, Renton, WA 98059, USA"
2014-12-10,650000.0,3,2.25,2150,1.0,0,3,4,8,1959,0,98166,47.4336,-122.339,302.3255813953488,0.0033076923076923,15,62.59542867718503,"233 SW 189th Pl, Normandy Park, WA 98166, USA"
2014-08-28,289000.0,3,1.75,1260,1.0,0,0,3,7,1954,0,98148,47.4366,-122.335,229.36507936507937,0.0043598615916955,10,37.8626289733031,"1st Ave S & SW 186th St, Normandy Park, WA 98166, USA"
2014-10-21,505000.0,3,1.75,2519,2.0,0,0,5,8,1973,0,98166,47.4428,-122.344,200.47637951568083,0.0049881188118811,13,77.44991440336835,"17551 6th Pl SW, Normandy Park, WA 98166, USA"
2014-12-07,549000.0,3,1.75,1540,3.0,0,0,3,8,2014,0,98115,47.6765,-122.32,356.4935064935065,0.0028051001821493,11,32.974367278952485,"803 NE 66th St, Seattle, WA 98115, USA"
2014-06-03,425000.0,3,2.25,1660,1.0,0,0,3,7,1979,0,98122,47.6113,-122.297,256.0240963855422,0.0039058823529411,10,32.52787674085042,"2717 E Spring St, Seattle, WA 98122, USA"
2014-11-20,317625.0,3,2.75,2770,1.5,0,0,5,7,1925,0,98144,47.5747,-122.304,114.66606498194946,0.0087209759937032,12,85.91125711377413,"3214 22nd Ave S, Seattle, WA 98144, USA"
2014-09-09,975000.0,4,2.5,2720,2.0,0,0,3,10,1989,0,98004,47.5815,-122.192,358.4558823529412,0.0027897435897435,13,51.96640910563087,"3224 111th Ave SE, Bellevue, WA 98004, USA"
2014-10-09,287000.0,4,2.5,2240,2.0,0,0,3,7,2005,0,98001,47.3378,-122.257,128.125,0.0078048780487804,10,57.61810021746171,"6110 S 295th Ct, Auburn, WA 98001, USA"
2014-08-25,204000.0,3,1.0,1000,1.0,0,0,4,7,1968,0,98042,47.3621,-122.11,204.0,0.0049019607843137,11,57.55101096562254,"17235 SE 267th Pl, Covington, WA 98042, USA"
2014-06-12,1325000.0,5,2.25,3200,1.0,0,0,3,8,1965,0,98004,47.6303,-122.215,414.0625,0.0024150943396226,11,29.03229537778189,"2209 95th Ave NE, Clyde Hill, WA 98004, USA"
2014-09-12,1040000.0,5,3.25,4770,1.0,0,0,4,11,1973,0,98005,47.6525,-122.16,218.02935010482184,0.0045865384615384,15,78.39379077407116,"13355 NE 50th St, Bellevue, WA 98005, USA"
2015-01-05,325000.0,3,2.0,1260,1.0,0,0,4,7,1972,0,98034,47.7362,-122.179,257.93650793650795,0.003876923076923,11,46.70105954749456,"12206 NE 149th Pl, Kirkland, WA 98034, USA"
2014-06-10,571000.0,4,2.0,2750,1.5,0,0,5,7,1916,0,98125,47.7168,-122.287,207.63636363636363,0.004816112084063,12,69.3170776847268,"12042 38th Ave NE, Seattle, WA 98125, USA"
2014-07-10,360000.0,4,2.5,2380,2.0,0,0,3,8,2005,0,98038,47.3608,-122.036,151.26050420168067,0.0066111111111111,11,68.40211909498912,"22840 SE 269th St, Maple Valley, WA 98038, USA"
2015-03-16,349000.0,3,1.75,1790,1.0,0,0,5,7,1965,0,98042,47.3511,-122.073,194.97206703910612,0.0051289398280802,12,71.87572294452413,"27710 201st Ave SE, Kent, WA 98042, USA"
2014-11-05,832500.0,4,4.0,3430,2.0,0,0,4,10,1986,0,98075,47.5822,-121.987,242.71137026239063,0.0041201201201201,14,71.9948642021006,"3022 263rd Pl SE, Sammamish, WA 98075, USA"
2014-10-13,380000.0,4,1.75,1760,1.0,0,0,3,7,1956,0,98008,47.6034,-122.125,215.9090909090909,0.0046315789473684,10,40.592467496414194,"16213 SE 7th St, Bellevue, WA 98008, USA"
2015-04-20,480000.0,3,1.0,1040,1.0,0,0,3,7,1941,0,98116,47.5636,-122.394,461.5384615384616,0.0021666666666666,10,12.698375977420998,"4441 48th Ave SW, Seattle, WA 98116, USA"
2014-06-09,410000.0,3,1.0,1410,1.0,0,0,4,7,1956,0,98133,47.7073,-122.34,290.78014184397165,0.0034390243902439,11,40.6641835932078,"10717 Ashworth Ave N, Seattle, WA 98133, USA"
2015-03-23,720000.0,4,2.5,3450,2.0,0,0,3,10,2002,0,98010,47.342,-122.025,208.69565217391303,0.0047916666666666,13,75.73451163651505,"28844 237th Pl SE, Black Diamond, WA 98010, USA"
2014-12-02,390000.0,3,2.5,2350,2.0,0,0,3,8,2003,0,98038,47.3512,-122.008,165.95744680851064,0.006025641025641,11,65.40623698699856,"27989 Maple Ridge Way SE, Maple Valley, WA 98038, USA"
2014-12-22,360000.0,4,2.5,1900,2.0,0,0,3,7,1992,0,98038,47.349,-122.031,189.47368421052636,0.0052777777777777,10,45.86822745569796,"28155 233rd Ave SE, Maple Valley, WA 98038, USA"
2014-10-28,355000.0,2,1.0,2020,1.0,0,0,3,7,1948,0,98118,47.5474,-122.291,175.74257425742573,0.0056901408450704,10,48.70216999028362,"6018 32nd Ave S, Seattle, WA 98118, USA"
2015-01-28,356000.0,3,1.5,1680,1.0,0,0,3,8,1964,0,98059,47.4811,-122.149,211.9047619047619,0.0047191011235955,11,55.9316152315736,"13604 143rd Ave SE, Renton, WA 98059, USA"
2014-06-02,315000.0,3,1.0,960,1.0,0,0,3,6,1952,0,98125,47.7264,-122.31,328.125,0.003047619047619,9,13.21658261231666,"1721 NE 135th St, Seattle, WA 98125, USA"
2014-11-14,940000.0,3,1.5,2140,2.0,0,0,3,9,1925,0,98119,47.6337,-122.365,439.25233644859816,0.0022765957446808,12,40.51265442095036,"6th Ave W & W Garfield St, Seattle, WA 98119, USA"
2014-11-03,305000.0,5,2.25,2660,1.5,0,0,5,7,1961,0,98092,47.2909,-122.189,114.66165413533837,0.0087213114754098,12,85.91357053625133,"2020 Fir St SE, Auburn, WA 98092, USA"
2014-06-18,461000.0,3,3.25,2770,2.0,0,0,3,9,2006,0,98056,47.5228,-122.199,166.4259927797834,0.0060086767895878,12,77.87905427289132,"3413 Meadow Ave N, Renton, WA 98056, USA"
2014-05-19,215000.0,2,2.25,1610,2.0,0,0,4,7,1979,0,98056,47.518,-122.194,133.54037267080744,0.0074883720930232,11,71.50673205940869,"2904 Kennewick Pl NE, Renton, WA 98056, USA"
2014-09-04,335000.0,2,1.75,1030,2.0,0,0,3,7,2006,0,98136,47.5394,-122.387,325.24271844660194,0.0030746268656716,10,21.542590107805488,"7108 California Ave SW, Seattle, WA 98136, USA"
2014-05-22,243500.0,4,2.5,1980,2.0,0,0,3,7,1988,0,98023,47.2897,-122.372,122.97979797979798,0.0081314168377823,10,58.172164900754176,"3002 SW 349th Pl, Federal Way, WA 98023, USA"
2015-03-11,1099880.0,5,2.75,3520,2.0,0,0,4,10,2001,0,98199,47.6506,-122.391,312.46590909090907,0.0032003491289958,14,59.854023041687874,"2650 W Bertona St, Seattle, WA 98199, USA"
2015-02-26,153000.0,3,1.0,1200,1.0,0,0,3,7,1962,0,98023,47.322,-122.351,127.5,0.0078431372549019,10,57.70022671540277,"31218 12th Ave SW, Federal Way, WA 98023, USA"
2014-07-25,430000.0,3,1.5,1580,1.0,0,0,3,8,1939,0,98117,47.687,-122.386,272.1518987341772,0.0036744186046511,11,44.031370008791,"8002 Jones Ave NW, Seattle, WA 98117, USA"
2014-12-23,700000.0,3,1.5,1580,1.0,0,0,3,8,1939,0,98117,47.687,-122.386,443.0379746835443,0.0022571428571428,11,27.86054689307361,"8002 Jones Ave NW, Seattle, WA 98117, USA"
2014-09-08,905000.0,4,2.5,3300,1.0,0,0,3,7,1946,1991,98040,47.5873,-122.249,274.24242424242425,0.003646408839779,10,29.09475778466664,"2481 64th Ave SE, Mercer Island, WA 98040, USA"
2015-03-30,247500.0,3,1.75,1960,1.0,0,0,3,7,1967,0,98032,47.3576,-122.277,126.27551020408164,0.0079191919191919,10,57.83440521908111,"4419 S 272nd St, Kent, WA 98032, USA"
2014-09-12,199000.0,4,1.5,1160,1.0,0,0,4,7,1975,0,98023,47.3036,-122.378,171.55172413793105,0.0058291457286432,11,64.25877943830103,"33209 36th Ave SW, Federal Way, WA 98023, USA"
2014-07-11,314000.0,3,1.75,1810,1.0,0,0,5,7,1980,0,98038,47.4109,-121.958,173.48066298342542,0.005764331210191,12,76.3383149030676,"21315 290th Ave SE, Maple Valley, WA 98038, USA"
2014-05-16,437500.0,3,2.5,2320,2.0,0,2,3,9,1992,0,98045,47.4838,-121.714,188.5775862068965,0.0053028571428571,14,82.81705455050201,"12711 470th Ave SE, North Bend, WA 98045, USA"
2014-06-11,850830.0,3,2.5,2070,1.5,0,0,5,9,1910,0,98102,47.6415,-122.315,411.0289855072464,0.0024329184443425,14,51.35219543793088,"2505 Boyer Ave E, Seattle, WA 98102, USA"
2014-10-27,555000.0,3,2.0,1980,1.5,0,0,4,7,1929,0,98117,47.6775,-122.372,280.3030303030303,0.0035675675675675,11,42.54846620089761,"6549 12th Ave NW, Seattle, WA 98117, USA"
2014-12-12,699950.0,3,2.25,2190,2.0,0,0,4,8,1983,0,98077,47.7731,-122.08,319.61187214611874,0.0031287949139224,12,49.27127191967797,"20036 194th Ave NE, Woodinville, WA 98077, USA"
2014-10-07,1088000.0,3,2.5,2920,2.0,0,0,3,8,1950,2010,98004,47.5814,-122.196,372.6027397260274,0.0026838235294117,11,31.6938879378152,"3156 108th Ave SE, Bellevue, WA 98004, USA"
2014-09-24,290000.0,3,1.0,1210,1.0,0,0,3,7,1954,0,98058,47.4375,-122.184,239.6694214876033,0.0041724137931034,10,35.85920510803683,"18415 118th Ave SE, Renton, WA 98058, USA"
2015-04-02,375000.0,3,2.5,2340,1.0,0,0,4,8,1978,0,98058,47.4431,-122.133,160.25641025641025,0.00624,12,79.13524267801786,"15606 SE 177th Pl, Renton, WA 98058, USA"
2014-05-23,460000.0,3,1.0,1670,1.5,0,0,4,7,1939,0,98117,47.6878,-122.38,275.4491017964072,0.0036304347826086,11,43.417156341091015,"8030 18th Ave NW, Seattle, WA 98117, USA"
2014-07-23,188500.0,2,1.75,1240,1.0,0,0,4,8,1985,0,98198,47.3813,-122.322,152.01612903225808,0.00657824933687,12,80.80090686161107,"24519 9th Pl S, Des Moines, WA 98198, USA"
2015-03-05,680000.0,4,2.5,3140,2.0,0,0,4,10,1991,0,98077,47.7304,-122.082,216.5605095541401,0.0046176470588235,14,77.18734095220469,"19108 NE 143rd Pl, Woodinville, WA 98077, USA"
2014-08-27,470000.0,5,1.75,2030,2.0,0,0,4,7,1942,0,98052,47.6417,-122.109,231.5270935960591,0.0043191489361702,11,51.98607319668718,"17245 NE 36th St, Redmond, WA 98052, USA"
2014-07-25,597750.0,4,2.5,2310,2.0,0,0,3,8,1984,0,98027,47.5386,-122.053,258.76623376623377,0.0038644918444165,11,46.54027668532827,"970 NW Honeywood Ct, Issaquah, WA 98027, USA"
2015-03-04,570000.0,3,1.75,1260,1.0,0,0,5,6,1905,0,98103,47.6823,-122.349,452.3809523809524,0.0022105263157894,11,27.54939156988849,"719 N 74th St, Seattle, WA 98103, USA"
2014-09-16,272500.0,3,1.75,1540,1.0,0,0,4,7,1980,0,98038,47.3624,-122.031,176.94805194805195,0.0056513761467889,11,63.02688196918521,"26707 233rd Ct SE, Maple Valley, WA 98038, USA"
2014-11-24,329950.0,3,1.75,2080,1.0,0,2,3,7,1971,0,98108,47.5474,-122.295,158.62980769230768,0.0063039854523412,12,79.484569472077,"2823 S Bateman St, Seattle, WA 98108, USA"
2014-10-28,480000.0,4,2.5,3230,2.0,0,3,3,9,2001,0,98001,47.3183,-122.253,148.60681114551085,0.0067291666666666,15,92.6213390089298,"1119 R St NW, Auburn, WA 98001, USA"
2014-11-21,740500.0,3,3.5,4380,2.0,0,0,3,8,1900,1999,98117,47.6981,-122.368,169.06392694063928,0.0059149223497636,11,64.77004580576504,"845 NW 95th St, Seattle, WA 98117, USA"
2014-06-26,518500.0,3,3.5,1590,3.0,0,0,3,8,2010,0,98103,47.6824,-122.347,326.1006289308176,0.003066538090646,11,36.01420441401009,"767 N 74th St, Seattle, WA 98103, USA"
2014-06-23,205425.0,2,1.0,880,1.0,0,0,4,6,1945,0,98178,47.5009,-122.248,233.4375,0.0042838018741633,10,37.020543191597646,"11440 69th Pl S, Seattle, WA 98178, USA"
2015-01-08,171800.0,4,2.0,1570,1.0,0,0,3,6,1950,0,98168,47.4965,-122.303,109.4267515923567,0.009138533178114,9,51.176375329662704,"11834 Military Rd S, Seattle, WA 98168, USA"
2015-05-11,535000.0,4,1.0,1610,1.5,0,0,4,7,1925,0,98144,47.587,-122.294,332.2981366459628,0.0030093457943925,11,35.29704344607412,"1733 30th Ave S, Seattle, WA 98144, USA"
2015-01-02,660000.0,3,2.5,2400,1.0,0,2,3,8,1964,0,98177,47.7728,-122.386,275.0,0.0036363636363636,13,62.707629667329854,"2148 NW 197th St, Shoreline, WA 98177, USA"
2014-11-19,391500.0,3,2.0,1450,1.0,0,0,3,7,1987,0,98034,47.7288,-122.226,270.0,0.0037037037037037,10,29.9391569888493,"8621 NE 142nd St, Bothell, WA 98011, USA"
2015-04-06,395000.0,2,1.0,770,1.0,0,0,3,6,1953,0,98117,47.6999,-122.364,512.987012987013,0.0019493670886075,9,3.6471105353259614,"612 NW 97th St, Seattle, WA 98117, USA"
2014-11-04,445000.0,4,1.75,2100,1.5,0,0,5,7,1924,0,98118,47.5299,-122.266,211.9047619047619,0.0047191011235955,12,68.46458150187387,"7958 Seward Park Ave S, Seattle, WA 98118, USA"
2014-06-18,770000.0,3,2.25,2910,2.0,0,0,3,9,1990,0,98052,47.6897,-122.098,264.6048109965636,0.0037792207792207,12,58.05071022070051,"18322 NE 99th Way, Redmond, WA 98052, USA"
2015-03-02,1450000.0,4,2.75,2750,1.5,0,0,3,8,1914,1992,98004,47.6141,-122.212,527.2727272727273,0.0018965517241379,11,25.94618979318003,"102 96th Ave NE, Bellevue, WA 98004, USA"
2014-07-17,445000.0,3,2.25,2100,1.0,0,2,3,8,1967,0,98178,47.5091,-122.244,211.9047619047619,0.0047191011235955,13,75.1260815250081,"10420 Cornell Ave S, Seattle, WA 98178, USA"
2014-07-17,260000.0,4,2.25,2160,1.0,0,0,3,8,1978,0,98023,47.3129,-122.39,120.37037037037037,0.0083076923076923,11,72.95377781890528,"32219 44th Pl SW, Federal Way, WA 98023, USA"
2014-06-13,822500.0,5,3.5,2320,2.0,0,0,5,7,1926,0,98103,47.6763,-122.352,354.5258620689655,0.0028206686930091,12,45.66695970018045,"512 N 65th St, Seattle, WA 98103, USA"
2015-04-06,430000.0,4,2.5,2070,2.0,0,0,3,7,2004,0,98065,47.5319,-121.85,207.72946859903385,0.004813953488372,10,42.19682598436126,"7621 Orchard Ave SE, Snoqualmie, WA 98065, USA"
2015-01-05,212000.0,3,1.75,1060,1.0,0,0,4,7,1986,0,98092,47.2761,-122.152,200.0,0.005,11,58.33873131911349,"5805 37th St SE, Auburn, WA 98092, USA"
2015-04-28,660500.0,4,2.25,2010,1.0,0,0,3,8,1986,0,98027,47.5343,-122.054,328.60696517412936,0.0030431491294473,11,35.683384999768656,"400 Jasmine Pl NW, Issaquah, WA 98027, USA"
